TF,TG,Score
PGR,SSPN,6415.59
PGR,MOXD1,6408.65
AR,GLIPR2,6399.64
TCF4,SYNPO2,6344.25
ATF3,PCP4,6343.56
ATF3,NFKBIA,6329.37
AR,JUN,6322.21
GATA6,THBS2,6303.32
ATF3,ZNF428,6287.26
FOSB,CALD1,6283.62
EGR1,MITF,6279.11
MITF,OGN,6262.73
JUN,CHODL,6251.41
GATA6,SESN3,6244.33
PGR,SFRP4,6225.37
ATF3,SSPN,6224.13
FOS,KCNMB1,6222.65
PBX1,FILIP1L,6220.34
FOSB,NFKBIA,6220.22
MITF,FBXO32,6220
JUN,SFRP4,6207.9
PGR,EMX2,6200.87
AR,RPL5,6179.65
HOXA10,FXYD6,6174.11
EGR1,SSPN,6154.76
PGR,ZNF428,6150.01
ATF3,MFAP2,6116.02
NFIA,SYNPO2,6103.76
AR,RAB23,6103.48
ATF3,OGN,6101.92
IRF1,LUM,6097.37
PGR,SQSTM1,6095.46
FOSB,GDF15,6094.84
PGR,ACTN1,6060.37
HOXA10,CALD1,6054.86
EGR1,TPM2,6026.3
EGR1,ALDH1A2,6023.97
AR,DES,6021.78
IRF1,HOXA10,6007.44
IRF1,FBXO32,5998.56
GATA6,FOSB,5955.12
TCF4,LMOD1,5953.75
AR,TMEM176A,5926.08
AR,STMN1,5923.69
AR,ASPN,5917.4
PRRX1,MFAP4,5897.77
ATF3,TAGLN,5889.51
FOSB,COX7A1,5834.04
AR,EMX2,5832.93
PGR,ZMAT3,5832.41
ATF3,ALDH1A2,5828.1
PGR,GDF15,5802.35
GATA6,FILIP1L,5786.72
AR,C1R,5784.27
PGR,RAB20,5772.43
GATA6,COL1A2,5757.94
TCF4,ACTG2,5751.29
MEIS2,ALDH1A2,5746.47
PGR,FILIP1L,5745.08
PGR,SMOC2,5740.22
AR,NFKBIA,5738.17
MITF,ESR1,5722.6
JUN,ESR1,5718.06
ATF3,MATN2,5697.92
ATF3,PMEL,5684.26
MAF,ABI3BP,5664.72
AR,ABI3BP,5647.74
PGR,RPL5,5640.21
HOXA10,SPARCL1,5632.12
GATA6,FKBP5,5602.19
AR,LDLR,5585.98
FOS,FOSB,5566.04
PGR,ANGPTL2,5556.19
ATF3,GLIPR2,5554.85
PGR,EFEMP2,5551.89
HOXA10,MGP,5547.03
PGR,ANTXR1,5517.28
EGR1,ADAM12,5512.73
EGR1,SPARCL1,5500.76
AR,RHOA,5491.8
HOXA10,ADAM12,5487.12
ATF3,COL6A2,5471.21
ATF3,FILIP1L,5435.61
TCF12,TRIM63,5402.33
MAF,ADAM12,5398.44
AR,COL1A2,5397.6
AR,SMOC2,5396.81
AR,LONRF1,5391.06
FOSB,PKM,5379.09
ATF3,ZFP36L2,5378.9
PGR,STMN1,5378.49
FOS,JUN,5375.99
EGR1,GPR143,5357.35
MAF,CRYAB,5329.27
EGR1,COX7A1,5326.87
GATA6,LDLR,5322.78
GATA6,COL6A2,5306.92
GATA6,SFRP4,5306.43
IRF1,FXYD6,5303.13
AR,HOXA11,5302.66
MITF,SMOC2,5296.31
PGR,MGP,5261.91
FOS,COL6A2,5259.02
PGR,HSPB8,5257.37
GATA6,COX7A1,5242.37
TCF4,MFAP4,5235.41
AR,SFRP4,5228.96
ATF3,TRIM63,5228.94
AR,ACTN1,5221.49
PBX1,USP53,5210.17
ATF3,MYL9,5205.89
EGR1,LUM,5202.32
AR,RPLP1,5192.84
GATA6,MRGPRF,5188.93
GATA6,EGR1,5171.04
AR,SLC25A6,5170.84
AR,PPP1R12B,5165.13
ATF3,SUMO2,5144.19
